title,price,location,ambientes,banos,metros_cuadrados,link
Departamento En Alquile 3 Dormitorios Zona Centro,420000.0,"Entre Rios 400, Centro, Rosario, Santa Fe",5,1,66.0,https://departamento.mercadolibre.com.ar/MLA-1943820796-departamento-en-alquile-3-dormitorios-zona-centro-_JM#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=a33056d2-9147-4d19-9a20-0c4148e054f1
Departamento En Alquiler 4 Dormitorios Zona Centro,580000.0,"San Lorenzo 1400, Centro, Rosario, Santa Fe",6,1,95.0,https://departamento.mercadolibre.com.ar/MLA-1944764416-departamento-en-alquiler-4-dormitorios-zona-centro-_JM#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=a33056d2-9147-4d19-9a20-0c4148e054f1
Alquiler Dpto Un Dormitorio Calidad Premium,400000.0,"Brown 2400, Centro, Rosario, Santa Fe",2,1,51.0,https://departamento.mercadolibre.com.ar/MLA-1940815896-alquiler-dpto-un-dormitorio-calidad-premium-_JM#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=a33056d2-9147-4d19-9a20-0c4148e054f1
Corrientes Al 2100 Alquiler Departamento 2 Dormitorios Con Cochera En Rosario,375000.0,"Corrientes Al 2100, Rosario, Santa Fe",3,1,66.0,https://departamento.mercadolibre.com.ar/MLA-1941254954-corrientes-al-2100-alquiler-departamento-2-dormitorios-con-cochera-en-rosario-_JM#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=a33056d2-9147-4d19-9a20-0c4148e054f1
Alquiler 1 Dormitorio Forum Puerto Norte Con Amenities Y Cochera,750000.0,"Carballo 230, Rosario, Santa Fe",2,1,38.0,https://departamento.mercadolibre.com.ar/MLA-1941937692-alquiler-1-dormitorio-forum-puerto-norte-con-amenities-y-cochera-_JM#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=a33056d2-9147-4d19-9a20-0c4148e054f1
"Departamento, Un Dormitorio Más Comodín, Bajas Expensas, Balcón, Terraza.",240000.0,"Pasco 78 03, República De La Sexta, Rosario, Santa Fe",3,1,8.0,https://departamento.mercadolibre.com.ar/MLA-1456501867-departamento-un-dormitorio-mas-comodin-bajas-expensas-balcon-terraza-_JM#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=a33056d2-9147-4d19-9a20-0c4148e054f1
"Pueyrredon Al 300 - Departamento En Alquiler De Dos Dormitorios - Rosario, Pichincha",400000.0,"Pueyrredon Y Catamarca, Alberto Olmedo, Rosario, Santa Fe",4,1,70.0,https://departamento.mercadolibre.com.ar/MLA-1456626079-pueyrredon-al-300-departamento-en-alquiler-de-dos-dormitorios-rosario-pichincha-_JM#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=a33056d2-9147-4d19-9a20-0c4148e054f1
España 2123 - Amplio Dpto De 2 Dormitorios Externo.,440000.0,"España 2150, Centro, Rosario, Santa Fe",3,2,79.0,https://departamento.mercadolibre.com.ar/MLA-1456678065-espana-2123-amplio-dpto-de-2-dormitorios-externo-_JM#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=a33056d2-9147-4d19-9a20-0c4148e054f1
Departamento En Centro,340000.0,"Mendoza Al 1300 - Contrafrente, Centro, Rosario, Santa Fe",5,1,48.0,https://departamento.mercadolibre.com.ar/MLA-1457531387-departamento-en-centro-_JM#polycard_client=search-nordic&position=15&search_layout=grid&type=item&tracking_id=a33056d2-9147-4d19-9a20-0c4148e054f1
"Departamento, Dos Dormitorios, Zona De Facultades, Centro, Ideal Estudiantes.",250000.0,"Zeballos Al 1248 06, Centro, Rosario, Santa Fe",3,1,65.0,https://departamento.mercadolibre.com.ar/MLA-1457572439-departamento-dos-dormitorios-zona-de-facultades-centro-ideal-estudiantes-_JM#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=a33056d2-9147-4d19-9a20-0c4148e054f1
Departamento En Alquiler.,160000.0,"Suipacha Al 700., Rosario, Santa Fe",1,1,35.0,https://departamento.mercadolibre.com.ar/MLA-1944682598-departamento-en-alquiler-_JM#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=a33056d2-9147-4d19-9a20-0c4148e054f1
Rodriguez Al 900 Alquiler Departamento 1 Dormitorio En Rosario,250000.0,"Rodriguez AL 900, Rosario, Santa Fe",2,1,32.0,https://departamento.mercadolibre.com.ar/MLA-1944703172-rodriguez-al-900-alquiler-departamento-1-dormitorio-en-rosario-_JM#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=a33056d2-9147-4d19-9a20-0c4148e054f1
Departamento En Alquiler Zona Facultad,395000.0,"Crespo 582 - 3 Piso 01, Luis Agote, Rosario, Santa Fe",4,2,65.0,https://departamento.mercadolibre.com.ar/MLA-1944853460-departamento-en-alquiler-zona-facultad-_JM#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=a33056d2-9147-4d19-9a20-0c4148e054f1
"Departamento 1 Dormitorio, Cocina Separada, Balcon Frente, Zona De Facultades",260000.0,"Cordoba Al 3000, Centro, Rosario, Santa Fe",2,1,42.0,https://departamento.mercadolibre.com.ar/MLA-1940896578-departamento-1-dormitorio-cocina-separada-balcon-frente-zona-de-facultades-_JM#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=a33056d2-9147-4d19-9a20-0c4148e054f1
3 De Febrero Al 1800 Alquiler Departamento 1 Dormitorio En Rosario,350000.0,"3 De Febrero Al 1800, Centro, Rosario, Santa Fe",2,1,36.0,https://departamento.mercadolibre.com.ar/MLA-1940886256-3-de-febrero-al-1800-alquiler-departamento-1-dormitorio-en-rosario-_JM#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=a33056d2-9147-4d19-9a20-0c4148e054f1
San Juan Al 3000 Alquiler Monoambiente En Rosario,180000.0,"SAN Juan AL 3000, Rosario, Santa Fe",1,1,26.0,https://departamento.mercadolibre.com.ar/MLA-1456613667-san-juan-al-3000-alquiler-monoambiente-en-rosario-_JM#polycard_client=search-nordic&position=22&search_layout=grid&type=item&tracking_id=a33056d2-9147-4d19-9a20-0c4148e054f1
Departamento De Dos Dormitoiros En Alquiler España Y Zeballos Rosario,380000.0,"España 1484 06-01, Centro, Rosario, Santa Fe",3,1,50.0,https://departamento.mercadolibre.com.ar/MLA-1943061318-departamento-de-dos-dormitoiros-en-alquiler-espana-y-zeballos-rosario-_JM#polycard_client=search-nordic&position=23&search_layout=grid&type=item&tracking_id=a33056d2-9147-4d19-9a20-0c4148e054f1
San Juan 449 04-01,340000.0,"San Juan Al 400, Centro, Rosario, Santa Fe",3,1,78.0,https://departamento.mercadolibre.com.ar/MLA-1941936950-san-juan-449-04-01-_JM#polycard_client=search-nordic&position=24&search_layout=grid&type=item&tracking_id=a33056d2-9147-4d19-9a20-0c4148e054f1
